"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone"
389,"389","LA PALMA-FOUNTAIN",,"33.85462","-117.84392",,,,,
390,"390","LA PALMA-MILLER",,"33.85379","-117.84735",,,,,
391,"391","LA PALMA-OCEAN",,"33.85335","-117.84895",,,,,
393,"393","LA PALMA-KRAEMER",,"33.85106","-117.85806",,,,,
394,"394","LA PALMA-ARMANDO",,"33.85062","-117.85979",,,,,
395,"395","LA PALMA-RED GUM",,"33.84952","-117.86409",,,,,
396,"396","LA PALMA-BLUE GUM",,"33.84870","-117.86740",,,,,
397,"397","LA PALMA-CHANTILLY",,"33.84738","-117.87475",,,,,
398,"398","LA PALMA-MIRALOMA",,"33.84737","-117.88018",,,,,
399,"399","LA PALMA-PARADISE",,"33.84737","-117.88330",,,,,
400,"400","LA PALMA-WHITTIER",,"33.84736","-117.88585",,,,,
402,"402","LA PALMA-STATE COLLEGE",,"33.84736","-117.89024",,,,,
403,"403","LA PALMA-BAXTER",,"33.84739","-117.89391",,,,,
404,"404","LA PALMA-ACACIA",,"33.84735","-117.89839",,,,,
405,"405","LA PALMA-LIBERTY",,"33.84735","-117.90068",,,,,
406,"406","LA PALMA-EAST",,"33.84737","-117.90620",,,,,
407,"407","LA PALMA-PAULINE",,"33.84737","-117.91074",,,,,
408,"408","LA PALMA-OLIVE",,"33.84734","-117.91419",,,,,
409,"409","LA PALMA-ANAHEIM",,"33.84733","-117.91739",,,,,
410,"410","LA PALMA-ANAHEIM",,"33.84741","-117.91846",,,,,
411,"411","LA PALMA-LEMON",,"33.84737","-117.92027",,,,,
412,"412","LA PALMA-HARBOR",,"33.84729","-117.92347",,,,,
413,"413","LA PALMA-CITRON",,"33.84728","-117.92761",,,,,
414,"414","LA PALMA-WEST",,"33.84725","-117.93260",,,,,
415,"415","LA PALMA-LIDO",,"33.84723","-117.93473",,,,,
416,"416","LA PALMA-ARBOR",,"33.84720","-117.93886",,,,,
417,"417","LA PALMA-EUCLID",,"33.84718","-117.94220",,,,,
418,"418","LA PALMA-ONONDAGA",,"33.84714","-117.94645",,,,,
419,"419","LA PALMA-ANAHEIM SHORES",,"33.84710","-117.95229",,,,,
420,"420","LA PALMA-BROOKHURST",,"33.84710","-117.95827",,,,,
421,"421","LA PALMA-GILBERT",,"33.84699","-117.96821",,,,,
422,"422","LA PALMA-MAYFLOWER",,"33.84695","-117.97233",,,,,
423,"423","LA PALMA-MAGNOLIA",,"33.84692","-117.97696",,,,,
424,"424","LA PALMA-WOODLAND",,"33.84690","-117.97967",,,,,
425,"425","LAKEVIEW-MCKINNON",,"33.85318","-117.81577",,,,,
428,"428","ANAHEIM-COMMERCIAL",,"33.85302","-117.91977",,,,,
429,"429","LEMON-ORANGEFAIR",,"33.85646","-117.91978",,,,,
430,"430","LEMON-ORANGETHORPE",,"33.86021","-117.91979",,,,,
431,"431","LEMON-FREEDOM",,"33.86215","-117.91980",,,,,
432,"432","ANAHEIM-COMMERCIAL",,"33.85230","-117.92000",,,,,
433,"433","LEMON-CARL KARCHER",,"33.85010","-117.91995",,,,,
445,"445","LINCOLN-KNOTT",,"33.83183","-118.00966",,,,,
446,"446","LINCOLN-WESTCHESTER",,"33.83188","-118.00503",,,,,
447,"447","LINCOLN-WESTERN",,"33.83194","-118.00201",,,,,
448,"448","LINCOLN-GRAND",,"33.83196","-117.99769",,,,,
449,"449","LINCOLN-BEACH",,"33.83192","-117.99294",,,,,
450,"450","LINCOLN-BEL AIR",,"33.83196","-117.98930",,,,,
451,"451","LINCOLN-DALE",,"33.83195","-117.98409",,,,,
452,"452","LINCOLN-STINSON",,"33.83208","-117.97920",,,,,
453,"453","LINCOLN-MAGNOLIA",,"33.83217","-117.97558",,,,,
454,"454","LINCOLN-GAIN",,"33.83216","-117.97274",,,,,
455,"455","LINCOLN-GILBERT",,"33.83223","-117.96812",,,,,
457,"457","LINCOLN-BROOKHURST",,"33.83239","-117.95834",,,,,
458,"458","LINCOLN-EMPIRE",,"33.83245","-117.95432",,,,,
